x,y,z,delta de t
-1.244,6.489,6.332,0
-1.416,6.456,6.61,5
-1.501,6.288,6.876,5
-1.477,5.954,7.135,5
-1.221,5.83,7.174,5
-0.933,5.819,7.22,5
-0.636,5.98,7.331,5
-0.272,6.15,7.491,5
0.124,6.329,7.778,5
0.569,6.526,8.432,5
0.92,6.555,8.892,5
1.196,6.518,9.214,5
1.257,6.568,9.227,5
1.075,6.416,9.182,5
0.721,6.129,9.094,5
0.486,6.141,8.958,5
0.287,6.118,8.609,5
0.127,6.057,8.029,5
-0.285,6.052,7.689,5
-0.606,6.033,7.387,5
-0.741,5.984,7.115,5
-0.765,5.941,6.843,5
-0.714,5.963,6.749,5
-0.739,5.988,6.773,5
-0.969,6.057,6.985,5
-1.233,6.131,7.237,5
-1.283,6.143,7.336,5
-1.24,6.155,7.427,5
-1.143,6.169,7.506,5
-1.069,6.193,7.468,6
-0.976,6.224,7.387,5
-0.865,6.261,7.263,5
-0.885,6.275,7.199,5
-0.996,6.251,7.097,5
-1.23,6.177,6.937,5
-1.274,6.135,6.882,5
-1.271,6.083,6.819,5
-1.234,5.996,6.695,5
-1.206,5.947,6.628,5
-1.197,5.921,6.606,5
-1.246,5.933,6.693,5
-1.247,5.945,6.739,5
-1.22,5.966,6.78,5
-1.159,6.018,6.838,5
-1.122,6.046,6.865,5
-1.11,6.071,6.914,5
-0.999,6.133,7.05,5
-0.921,6.167,7.141,5
-0.884,6.167,7.179,5
-0.88,6.145,7.315,5
-0.863,6.133,7.421,5
-0.814,6.145,7.445,5
-0.745,6.158,7.617,5
-0.683,6.167,7.794,5
-0.658,6.167,7.868,5
-0.616,6.141,7.934,5
-0.579,6.11,7.98,5
-0.616,6.11,7.931,6
-0.769,6.08,7.787,5
-0.998,6.033,7.579,5
-1.085,6.033,7.431,5
-1.147,6.027,7.223,5
-1.184,6.015,6.951,5
-1.198,6.014,6.853,5
-1.215,6.014,6.733,5
-1.24,6.014,6.56,5
-1.326,6.065,6.623,5
-1.408,6.116,6.724,5
-1.445,6.141,6.798,5
-1.383,6.148,6.917,5
-1.288,6.146,7.053,5
-1.214,6.133,7.189,5
-1.187,6.113,7.363,5
-1.183,6.09,7.553,5
-1.134,6.09,7.652,5
-1.11,6.097,7.738,5
-1.11,6.109,7.812,5
-1.038,6.121,7.874,5
-0.98,6.123,7.915,5
-0.942,6.111,7.928,5
-1.023,6.088,7.833,5
-1.126,6.056,7.738,5
-1.237,6.006,7.676,5
-1.32,5.995,7.576,5
-1.387,5.999,7.468,5
-1.4,6.014,7.336,6
-1.313,6.03,7.177,5
-1.223,6.051,7.069,5
-1.211,6.038,7.081,5
-1.213,6.047,7.114,5
-1.225,6.071,7.163,5
-1.262,6.071,7.188,5
-1.26,6.088,7.201,5
-1.21,6.125,7.201,5
-1.172,6.162,7.19,5
-1.127,6.186,7.208,5
-1.065,6.186,7.282,5
-1.092,6.166,7.357,5
-1.141,6.16,7.486,5
-1.191,6.209,7.782,5
-1.24,6.259,7.984,5
-1.311,6.326,8.189,5
-1.509,6.499,8.658,5
-1.567,6.584,8.841,5
-1.516,6.61,8.809,5
-1.153,6.677,8.312,5
-0.799,6.738,7.821,5
-0.677,6.651,7.472,5
-0.681,6.518,7.149,5
-0.708,6.387,6.919,5
-0.757,6.264,6.833,5
-1.137,5.665,6.746,5
-1.37,4.777,6.554,5
-1.074,3.394,6.097,6
-1.43,4.737,5.134,5
-1.878,6.693,4.062,5
-1.681,6.952,3.334,5
-1.896,6.931,5.57,5
-2.297,6.759,9.271,5
-2.05,6.734,9.764,5
-1.152,5.596,8.768,5
0.328,3.461,6.434,5
0.882,3.529,5.474,5
1.046,4.286,5.287,5
0.713,5.904,6.102,5
0.423,6.476,6.335,5
0.037,6.777,6.419,5
-0.561,6.828,6.368,5
-0.612,6.56,6.358,5
-0.593,6.501,6.713,5
-0.593,6.538,7.984,5
-0.354,6.641,9.898,5
0.065,6.756,11.932,5
0.967,6.719,12.426,5
2.07,6.759,12.46,5
3.316,6.859,12.132,5
3.513,7.056,11.206,5
3.444,7.009,10.439,5
3.061,6.676,9.859,5
2.577,6.376,9.75,5
1.991,6.018,9.605,5
1.238,5.549,9.308,5
0.942,5.21,8.763,6
0.748,4.973,8.265,5
0.526,4.948,8.08,5
0.442,5.132,7.999,5
0.406,5.404,7.943,5
0.308,5.675,7.783,5
0.108,5.91,7.616,5
0.657,6.172,7.084,5
1.176,6.271,6.627,5
1.743,6.222,5.808,5
2.361,6.025,4.623,5
2.231,5.792,4.267,5
1.756,5.348,4.036,5
0.818,4.583,3.925,5
0.816,4.4,4.063,5
1.664,4.304,4.446,5
4.158,4.156,5.31,5
3.858,3.88,5.572,5
2.433,3.529,5.76,5
0.396,3.048,6.55,5
-0.579,2.873,7.018,5
-0.866,2.927,7.27,5
-0.249,3.569,7.171,5
0.223,3.967,6.934,5
0.568,4.152,6.576,5
1.581,4.41,6.072,5
2.255,4.553,5.784,5
2.465,4.54,5.784,5
2.738,4.303,6.14,6
2.915,4.073,6.627,5
2.928,3.937,7.096,5
2.768,4.05,6.455,5
2.621,4.208,5.613,5
2.696,4.27,5.194,5
