x,y,z,dt
2.068,0.536,-8.667,10
1.944,0.555,-8.59,9
2.097,0.708,-8.868,10
2.375,0.756,-8.82,10
2.461,0.641,-8.657,10
2.624,0.565,-8.676,10
2.777,0.699,-8.667,9
2.786,0.632,-8.705,10
2.729,0.354,-8.523,10
2.652,0.191,-8.322,9
2.748,-0.335,-8.236,10
2.834,-0.651,-8.475,10
2.719,-0.756,-8.37,10
2.336,-0.383,-8.437,10
2.662,-0.134,-8.255,9
2.7,0.258,-8.293,10
2.7,0.258,-7.498,10
3.179,0.354,-7.498,10
3.677,-0.287,-7.9,9
3.754,0.086,-8.734,10
3.208,-0.124,-9.088,10
2.528,0.181,-9.155,10
1.982,0.478,-9.107,9
1.608,0.756,-9.117,10
1.312,0.67,-8.992,10
1.206,0.603,-9.145,10
1.091,0.612,-9.097,10
1.216,0.593,-8.906,9
1.273,0.411,-8.944,10
1.455,0.411,-9.002,10
1.647,0.316,-8.781,10
1.819,0.229,-8.456,9
1.896,0.143,-8.35,10
1.924,0.028,-8.379,10
1.848,0.105,-8.513,10
1.714,0.22,-8.667,9
1.436,0.804,-8.772,10
1.848,-0.459,-8.532,10
1.982,-0.258,-8.887,10
2.078,-0.239,-8.848,10
2.202,-0.057,-8.734,9
2.365,0,-8.561,10
2.422,0.105,-8.437,10
2.537,-0.086,-8.408,10
2.461,0.162,-8.523,9
2.308,0.459,-8.609,10
2.327,0.134,-8.695,10
2.24,0.344,-8.906,10
2.154,0.316,-8.839,9
2.116,0.047,-8.638,10
1.944,0.335,-8.724,10
2.011,0.124,-8.657,10
2.212,-0.143,-8.944,9
2.202,0.239,-9.308,10
2.269,-0.019,-9.222,10
2.135,0.067,-9.356,10
2.202,-0.421,-9.145,9
2.049,-0.191,-9.174,10
2.049,-0.229,-9.097,10
2.145,-0.383,-8.925,10
2.193,-0.287,-8.944,10
2.269,-0.134,-8.983,9
2.394,-0.095,-8.925,10
2.461,-0.019,-8.848,10
2.48,0.076,-8.714,10
2.518,0.181,-8.571,9
2.537,0.258,-8.638,10
2.509,0.287,-8.619,10
2.489,0.287,-8.705,10
2.346,0.268,-8.762,9
2.279,0.287,-8.82,10
2.173,0.268,-8.858,10
2.145,0.248,-8.839,10
2.097,0.277,-8.772,9
2.049,0.344,-8.762,10
2.106,0.325,-8.791,10
2.193,0.363,-8.781,10
2.269,0.363,-8.791,10
2.269,0.363,-8.791,9
2.327,0.306,-8.801,10
2.355,0.229,-8.887,10
2.308,0.181,-8.935,10
2.231,0.22,-8.906,9
2.346,-0.009,-8.81,10
2.288,0.181,-8.714,10
2.288,0.22,-8.686,10
2.298,0.248,-8.714,9
2.221,0.258,-8.781,10
2.126,0.239,-8.887,10
1.991,0.21,-8.973,10
1.896,0.201,-8.954,10
1.857,0.21,-8.906,9
1.838,0.239,-8.829,10
1.81,0.268,-8.82,10
1.819,0.277,-8.753,10
1.8,0.248,-8.714,9
1.829,0.268,-8.657,10
1.886,0.325,-8.724,10
1.877,0.354,-8.628,10
1.963,0.354,-8.714,9
1.972,0.277,-8.714,10
1.905,0.316,-8.686,10
1.877,0.392,-8.743,10
1.896,0.354,-8.753,9
1.896,0.325,-8.753,10
1.877,0.373,-8.753,10
1.944,0.296,-8.686,10
1.991,0.363,-8.734,10
2.059,0.325,-8.82,9
2.059,0.316,-8.906,10
2.049,0.306,-8.935,10
2.001,0.239,-8.935,10
1.963,0.21,-8.877,9
1.944,0.21,-8.791,10
1.963,0.22,-8.724,10
1.953,0.229,-8.734,10
1.934,0.181,-8.791,9
1.924,0.134,-8.791,10
1.944,0.143,-8.762,10
1.915,0.124,-8.743,10
1.963,0.172,-8.743,9
1.963,0.181,-8.762,10
1.953,0.162,-8.772,10
1.924,0.181,-8.753,10
1.905,0.191,-8.753,10
1.886,0.181,-8.753,9
1.924,0.201,-8.724,10
1.953,0.21,-8.724,10
1.944,0.201,-8.772,10
1.963,0.181,-8.801,9
1.972,0.191,-8.848,10
1.963,0.201,-8.868,10
1.944,0.239,-8.868,10
1.991,0.229,-8.81,9
2.02,0.229,-8.772,10
2.078,0.287,-8.772,10
2.106,0.335,-8.791,10
2.116,0.373,-8.772,9
2.183,0.411,-8.734,10
2.212,0.411,-8.676,10
2.212,0.43,-8.676,10
2.231,0.469,-8.686,10
2.24,0.507,-8.695,9
2.212,0.507,-8.686,10
2.202,0.488,-8.714,10
2.183,0.45,-8.724,10
2.221,0.459,-8.801,9
2.25,0.43,-8.887,10
2.346,0.43,-8.906,10
2.355,0.335,-8.906,10
2.336,0.201,-8.906,9
2.308,0.105,-8.906,10
2.279,0.057,-8.887,10
2.308,0.009,-8.858,10
2.26,-0.143,-8.829,9
2.193,-0.076,-8.734,10
2.193,-0.047,-8.657,10
2.24,-0.019,-8.657,10
2.25,0.038,-8.705,10
2.212,0.22,-8.753,9
2.154,0.335,-8.801,10
2.068,0.344,-8.753,10
2.039,0.411,-8.714,10
2.059,0.584,-8.724,9
2.097,0.689,-8.762,10
2.145,0.632,-8.781,10
2.173,0.593,-8.81,10
2.193,0.622,-8.82,9
2.26,0.66,-8.81,10
2.308,0.603,-8.714,10
2.308,0.545,-8.695,10
2.327,0.478,-8.657,10
2.336,0.354,-8.676,9
2.365,0.258,-8.676,10
2.327,0.172,-8.695,10
2.26,0.153,-8.705,10
2.317,-0.114,-8.743,9
2.183,0,-8.734,10
2.135,-0.047,-8.714,10
2.106,-0.028,-8.724,10
2.078,-0.095,-8.781,10
2.039,-0.038,-8.829,9
2.049,-0.181,-8.868,10
2.03,-0.047,-8.82,10
2.087,-0.076,-8.839,9
2.097,0.038,-8.877,10
2.106,0.124,-8.906,10
2.097,0.086,-8.973,10
2.059,0.019,-8.944,10
2.059,0.067,-8.877,9
2.106,0.124,-8.82,10
2.135,0.134,-8.772,10
2.173,0.143,-8.772,10
2.145,0.086,-8.743,9
2.068,0.114,-8.743,10
2.001,0.143,-8.714,10
2.011,0.181,-8.657,10
2.049,0.248,-8.686,9
2.02,0.277,-8.647,10
1.982,0.316,-8.667,10
1.991,0.335,-8.647,10
1.972,0.335,-8.657,9
1.972,0.325,-8.657,10
1.982,0.287,-8.667,10
1.982,0.239,-8.772,10
1.934,0.181,-8.868,10
2.001,0.172,-8.954,9
1.934,0.124,-9.097,10
1.79,0.095,-9.346,10
1.953,-0.038,-9.375,10
2.202,-0.124,-9.232,9
2.624,-0.172,-8.839,10
2.681,-0.22,-8.609,10
2.633,-0.086,-8.667,10
2.748,0.124,-8.695,9
2.93,0.191,-8.609,10
3.074,0.22,-8.465,11
2.978,0.239,-8.37,9
2.767,0.239,-8.456,9
2.595,0.268,-8.571,10
2.384,0.478,-8.657,10
2.269,0.497,-8.714,10
2.193,0.45,-8.753,10
2.173,0.545,-8.858,9
1.991,0.632,-8.839,10
1.867,0.593,-8.791,10
1.838,0.565,-8.686,10
1.829,0.44,-8.532,10
1.733,0.526,-8.475,9
1.762,0.421,-8.532,10
1.771,0.287,-8.619,10
1.704,0.076,-8.705,9
1.675,-0.105,-8.753,10
1.762,0.019,-8.858,10
1.647,0.067,-8.944,10
1.656,0,-8.887,10
2.001,0.028,-8.887,9
2.308,-0.306,-8.906,10
2.432,-0.296,-8.829,10
2.557,-0.344,-8.887,10
2.557,-0.363,-8.916,9
2.537,-0.143,-8.877,10
2.375,-0.201,-8.801,10
2.221,-0.172,-8.686,10
2.173,-0.114,-8.714,10
2.145,-0.277,-8.695,9
2.145,-0.239,-8.657,10
2.059,-0.143,-8.657,10
2.126,0,-8.647,10
2.116,0.086,-8.695,9
2.001,0.067,-8.676,10
1.982,0.143,-8.667,10
2.001,0.181,-8.734,10
2.03,0.047,-8.628,9
1.944,0.086,-8.705,10
2.03,0.105,-8.801,10
2.193,0.057,-8.906,10
2.193,-0.047,-8.963,9
2.154,0,-8.925,10
2.059,-0.143,-9.05,10
2.116,-0.258,-8.848,10
2.116,-0.277,-8.772,9
2.106,-0.248,-8.714,10
2.106,-0.248,-8.714,10
2.059,-0.392,-8.714,10
2.145,-0.229,-8.772,9
2.145,-0.43,-9.002,10
1.915,-0.478,-9.04,10
1.81,-0.402,-9.097,10
1.829,-0.287,-8.973,10
2.001,-0.181,-8.801,9
2.145,-0.172,-8.676,10
2.145,-0.143,-8.628,10
2.126,-0.153,-8.714,10
2.154,-0.124,-8.772,9
2.26,-0.172,-8.762,10
2.221,-0.134,-8.714,10
2.097,-0.028,-8.705,10
2.068,0.028,-8.695,9
2.097,0.038,-8.724,10
2.068,-0.028,-8.772,10
2.011,-0.105,-8.868,10
2.039,-0.191,-8.877,9
2.059,-0.287,-8.877,10
2.059,-0.344,-8.762,10
2.279,-0.21,-8.839,10
2.231,-0.105,-8.667,10
2.24,-0.114,-8.686,9
2.231,-0.201,-8.887,10
2.346,-0.248,-9.002,10
2.355,-0.277,-8.944,10
2.279,-0.191,-8.916,9
2.327,-0.105,-8.82,10
2.308,-0.114,-8.695,10
2.288,-0.095,-8.676,10
2.327,-0.067,-8.705,9
2.308,-0.076,-8.686,10
2.327,-0.095,-8.638,10
2.384,-0.047,-8.619,10
2.422,-0.057,-8.628,9
2.346,0.019,-8.743,10
2.346,0.086,-8.887,10
2.317,0.114,-8.848,10
2.25,0.124,-8.82,10
2.24,0.057,-8.81,9
2.183,0.019,-8.82,10
2.078,0.009,-8.743,10
1.675,0.057,-8.609,10
