# Accelerometer Data File
# Started @Mon May 08 23:01:21 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.447 8.618 1.812 0
-0.566 8.718 1.724 5
-0.772 8.798 1.743 5
-0.884 8.86 1.863 5
-0.899 8.953 2.171 5
-0.772 9.058 2.575 5
-0.511 9.326 2.925 5
-0.247 9.532 3.241 5
-0.134 9.727 3.502 5
-0.119 9.907 3.413 5
-0.035 9.891 3.212 5
0.046 9.818 2.907 5
0.112 9.704 2.622 5
0.07 9.627 2.242 5
0.129 9.603 1.885 5
0.309 9.613 1.939 5
0.298 9.685 2.077 5
0.019 9.782 2.469 5
-0.328 9.866 2.784 5
-0.609 9.826 2.966 5
-0.713 9.681 2.993 5
-0.926 9.464 2.966 5
-1.022 9.239 2.746 5
-0.457 9.5 2.549 5
-0.183 9.822 2.317 5
-0.097 10.021 2.481 5
-0.059 9.951 3.032 5
-0.05 9.675 3.672 5
-0.001 9.407 4.148 5
-0.021 9.18 4.337 6
-0.226 8.985 4.31 5
-0.383 8.76 4.14 5
-0.47 8.548 3.822 5
-0.512 8.407 3.446 5
-0.556 8.374 3.166 5
-0.627 8.467 2.94 5
-0.846 8.578 2.66 5
-1.055 8.565 2.378 5
-0.948 8.523 2.129 5
-0.728 8.402 1.965 5
-0.59 8.356 1.707 5
-0.574 8.388 1.477 5
-0.616 8.495 1.539 5
-0.635 8.621 1.829 5
-0.781 8.688 2.266 5
-0.963 8.716 2.746 5
-1.027 8.72 3.139 5
-0.919 8.683 3.37 5
-0.81 8.642 3.599 5
-0.756 8.753 3.7 5
-0.787 8.925 3.673 5
-0.697 9.076 3.551 5
-0.537 9.192 3.241 5
-0.348 9.333 2.809 5
-0.177 9.455 2.455 5
-0.037 9.515 2.202 5
0.097 9.542 2.005 5
0.122 9.569 1.948 6
0.134 9.471 2.056 5
0.1 9.323 2.107 5
-0.009 9.151 2.25 5
-0.228 8.894 2.323 5
-0.461 8.693 2.479 5
-0.761 8.487 2.679 5
-0.987 8.374 2.912 5
-1.119 8.311 3.077 5
-1.033 8.355 3.153 5
-0.912 8.457 3.095 5
-0.774 8.641 2.966 5
-0.555 8.824 2.82 5
-0.359 9.005 2.656 5
-0.133 9.145 2.486 5
0.02 9.244 2.324 5
0.191 9.349 2.192 5
0.324 9.441 2.164 5
0.484 9.481 2.136 5
0.596 9.491 2.252 5
0.617 9.5 2.403 5
0.672 9.479 2.487 5
0.669 9.461 2.404 5
0.549 9.426 2.198 5
0.36 9.335 1.902 5
0.114 9.19 1.717 5
-0.048 9.044 1.728 5
-0.229 8.947 1.877 5
-0.362 8.868 2.219 6
-0.495 8.834 2.687 5
-0.686 8.838 3.004 5
-0.874 8.798 3.255 5
-0.992 8.735 3.315 5
-0.936 8.739 3.332 5
-0.851 8.714 3.332 5
-0.668 8.766 3.246 5
-0.371 8.814 3.054 5
0.003 8.951 2.826 5
0.324 9.107 2.609 5
0.554 9.326 2.319 5
0.628 9.492 2.036 5
0.67 9.587 1.746 5
0.655 9.565 1.573 5
0.606 9.551 1.473 5
0.516 9.467 1.483 5
0.407 9.382 1.64 5
0.226 9.278 1.894 5
0.086 9.206 2.2 5
-0.133 9.123 2.486 5
-0.311 9.018 2.679 5
-0.515 8.85 2.928 5
-0.652 8.731 3.133 5
-0.786 8.598 3.29 5
-0.834 8.565 3.352 5
-0.901 8.579 3.427 5
