x,y,z,dt
2.173,-0.89,6.445,10
1.647,-0.775,3.926,9
1.168,-1.168,2.413,10
1.158,-2.585,1.675,10
1.158,-2.585,1.675,10
0.727,-4.807,0.402,9
-0.057,-11.722,-0.794,10
-2.288,18.253,-5.075,10
-7.048,6.196,10.228,10
-11.214,15.648,2.451,10
-7.9,-17.104,-11.147,9
-5.094,-8.149,15.303,10
2.03,-4.692,-8.916,10
12.009,-6.129,-7.948,10
9.346,-5.2,17.391,9
4.481,-4.836,9.011,10
2.394,-5.037,3.026,10
2.633,-5.257,0.852,10
2.461,-8.073,0.373,9
2.968,-12.229,-0.134,10
3.485,-18.052,-3.447,10
5.401,17.113,-9.662,10
12.306,14.24,1.905,9
18.895,3.821,10.084,10
1.474,2.595,3.179,10
18.569,2.595,-18.626,10
15.562,3.849,-3.83,10
15.849,9.232,3.61,9
-16.117,18.1,-3.39,10
-2.183,-15.169,-14.432,10
3.859,-11.702,-15.399,10
7.259,-10.706,-8.485,9
9.988,-5.851,-3.265,10
9.461,-0.392,-2.844,10
3.38,-1.187,-3.706,10
-2.748,-2.451,-3.763,10
-6.11,-1.063,-3.361,9
-5.928,1.283,-3.84,10
-4.453,1.963,-5.19,10
-4.587,-0.632,-5.688,10
-5.295,-3.169,-4.328,9
-5.267,-4.386,-2.652,10
-4.874,-5.037,-1.197,10
-3.667,-4.242,0.363,10
-1.944,-2.576,1.58,9
-0.344,-0.641,1.589,10
0.66,0.737,0.861,10
1.312,1.886,0,10
1.455,1.436,-0.086,9
1.359,0.814,1.024,10
1.541,0.545,1.321,10
2.173,-0.804,-0.22,10
1.867,-4.778,-1.532,10
0.373,-11.319,0.737,9
-0.181,-16.596,3.332,12
-0.344,16.251,5.305,8
-3.543,6.895,2.231,9
-0.143,5.363,-8.322,10
4.242,7.536,-14.566,10
7.297,10.237,-15.447,10
6.272,6.397,-7.517,10
4.979,2.595,-1.513,9
7.067,2.643,-4.616,10
7.24,11.99,-6.33,10
3.897,-20.187,-6.157,10
1.628,-14.24,-8.101,9
-0.699,-10.026,-7.316,10
-3.581,-8.638,-5.41,10
-5.544,-9.423,-3.447,10
-5.899,-8.532,-1.474,9
-5.899,-8.532,0.919,10
-2.585,-5.861,0.919,10
1.781,-2.94,2.652,10
5.889,-1.082,5.085,9
9.691,0.679,5.104,10
11.836,2.518,3.169,10
10.055,5.956,3.39,10
7.067,9.203,5.305,10
6.177,11.53,6.924,9
4.481,12.018,8.044,10
2.806,11.884,8.628,10
0.948,10.965,7.067,10
-1.197,3.505,6.655,10
-0.861,1.235,8.475,9
-0.43,-0.124,6.004,10
0.995,-0.488,4.759,10
1.12,-0.44,3.629,10
1.139,-0.268,2.585,9
1.561,-0.746,2.049,10
1.628,-2.384,1.819,10
0.469,-5.449,1.896,10
-0.737,-19.747,2.92,9
-5.228,3.476,9.988,10
-7.345,2.595,2.451,10
-5.592,7.307,-9.653,10
-11.865,-14.623,-5.535,9
-5.075,-1.13,-2.451,10
2.451,6.358,-10.113,10
4.003,11.53,17.199,10
2.499,9.49,9.241,10
1.446,5.966,2.671,9
5.583,-4.204,-13.656,10
5.315,-16.778,18.339,10
1.695,18.33,-6.885,10
7.268,14.192,5.468,9
18.224,12.746,12.277,10
-18.866,9.998,13.79,10
12.67,6.56,10.256,10
-0.603,4.319,0.153,9
-20.293,2.595,15.83,10
18.895,4.146,-8.791,10
15.849,8.983,-1.043,10
-18.215,19.402,-3.351,9
-5.956,-13.694,-9.021,10
0.497,-9.308,-11.961,10
3.84,-5.43,-10.467,10
6.033,-1.81,-6.493,9
7.402,3.62,-3.093,10
4.089,5.2,-0.201,10
-3.303,1.886,-0.632,10
-8.264,-1.915,-2.02,9
-8.705,-2.738,-3.179,10
-6.426,-1.752,-4.213,10
-4.912,-2.097,-4.596,10
-4.204,-3.323,-3.955,10
-3.696,-3.964,-2.078,9
-3.428,-3.552,-0.287,10
-2.671,-1.666,0.89,10
-1.829,0.354,1.359,10
-1.053,2.231,0.785,9
-0.526,3.016,-0.067,10
0.45,2.403,-0.181,10
1.723,0.89,0.565,10
2.729,-0.354,1.206,10
3.83,-1.043,1.063,9
4.807,-2.173,-0.124,10
4.28,-6.129,-0.555,10
4.28,-6.129,-0.555,10
1.063,-12.612,3.141,9
-1.637,-18.425,6.502,10
-3.466,12.919,8.36,10
-6.924,5.171,0.852,10
-1.13,7.718,-11.875,9
6.119,9.586,-15.514,10
9.222,10.84,-15.562,10
6.54,7.987,-7.671,10
5.506,2.595,1.857,9
7.259,2.595,0.383,10
12.449,6.215,-0.229,10
8.245,20.092,1.072,10
3.275,-13.426,-1.13,9
0.909,-9.758,-4.96,10
-0.708,-7.019,-6.445,10
-1.905,-4.912,-5.755,10
-1.541,-3.332,-6.205,10
-0.181,-1.695,-5.985,9
1.675,-1.848,-3.246,10
2.001,-2.164,1.34,10
2.202,-1.79,3.945,10
2.882,-0.746,4.271,9
3.773,0.957,4.462,10
4.395,2.93,4.769,10
6.205,6.56,6.55,10
6.991,10.093,7.91,9
6.004,11.482,7.431,10
3.007,12.44,7.144,10
-2.001,7.297,6.445,10
-1.177,2.643,12.191,9
1.877,0.699,12.076,10
2.949,-0.469,6.991,10
2.92,-0.938,3.696,10
2.729,-1.666,2.202,10
2.652,-2.47,1.235,9
2.413,-3.658,1.254,10
2.106,-5.343,1.484,10
1.197,-14.604,0.306,10
-3.687,7.565,14.652,9
-14.001,7.345,2.968,10
-17.554,-17.142,7.824,10
-10.381,-9.854,6.837,10
-4.012,-5.87,-17.966,10
5.755,-8.465,-7.987,9
12.21,-13.148,-11.645,10
7.661,-13.484,15.064,10
4.75,-9.366,5.085,10
2.451,-8.571,1.292,9
2.566,-6.454,0.134,10
2.786,-8.963,-4.098,10
3.562,-13.694,-7.623,10
4.558,-19.776,-5.142,9
5.592,19.594,-1.359,10
13.081,18.847,4.098,10
16.883,9.749,9.481,10
8.044,5.353,9.662,9
-11.942,2.901,-8.149,10
20.063,2.767,-10.371,10
-18.77,9.279,-0.919,10
19.919,14.949,-2.748,9
-15.428,-18.253,-11.089,10
-4.663,-11.444,-17.946,10
-0.392,-9.318,-15.926,10
0.162,-8.101,-9.662,9
0.143,-7.029,-1.197,10
0.143,-7.029,3.6,10
1.896,-4.797,3.6,10
5.315,0.507,1.216,10
7.048,5.094,-0.689,9
1.8,3.945,-0.603,10
-3.418,1.81,-0.871,10
-5.382,0.718,-2.087,10
-5.276,0.497,-3.083,9
-5.066,-0.335,-3.696,10
-4.912,-1.656,-3.361,10
-4.175,-3.026,-1.637,10
-3.275,-3.782,0.067,9
-2.116,-2.786,0.679,10
-1.264,-0.823,0.995,10
-0.335,0.689,0.766,10
0.814,1.762,0.067,10
1.867,1.867,-0.66,9
2.949,0.641,-0.775,10
3.227,-1.666,0.181,10
1.848,-5.669,4.175,10
1.618,-9.758,8.236,9
1.915,-11.693,8.916,10
3.083,-17.678,5.602,10
4.606,14.633,-5.966,10
4.118,10.151,-15.035,9
4.453,14.03,-11.042,10
5.152,18.502,-5.688,10
5.19,-19.239,-3.169,10
5.966,-19.91,-4.616,10
4.386,14.547,-11.884,9
-1.733,5.832,-4.252,10
-5.037,2.595,1.972,10
-2.394,3.189,-1.838,10
3.438,16.117,-3.744,9
3.916,-13.79,-4.041,10
3.332,-7.776,-5.046,10
2.461,-5.085,-6.301,10
2.039,-4.539,-7.977,10
2.068,-4.414,-7.651,9
1.58,-5.046,-4.74,10
1.35,-6.042,-1.455,10
1.11,-6.531,2.049,9
1.005,-6.081,6.081,10
1.043,-4.462,9.203,10
1.321,-1.972,10.524,10
2.049,1.312,10.199,10
3.294,5.391,8.983,9
3.524,7.996,6.378,10
4.319,11.817,2.537,10
2.806,13.426,3.61,10
0.335,10.888,6.761,9
0.909,7.067,8.121,10
2.499,4.376,6.54,10
2.92,2.059,3.811,10
2.355,0.277,1.666,9
2.327,-0.881,0.306,10
2.432,-1.752,-0.814,10
1.829,-3.926,-5.707,10
0.67,-9.911,-14.547,9
-0.593,-16.721,-11.951,11
-4.874,16.452,-14.24,9
-10.065,19.785,-16.788,10
-9.864,-11.903,-6.991,10
-5.602,-3.141,9.854,9
-0.641,2.662,14.987,10
5.046,-3.39,14.834,10
12.871,-3.39,11.214,10
12.871,-16.682,11.214,9
8.935,4.778,2.24,10
9.394,7.153,6.11,10
5.765,-15.744,3.198,10
-3.983,-3.6,-1.005,9
-3.217,-5.343,-0.689,10
0.248,-6.081,-0.325,10
3.993,-8.513,-2.288,10
7.603,-18.828,-3.907,9
10.467,15.255,-0.277,10
16.979,11.444,4.204,10
12.526,7.738,5.209,10
1.819,8.59,2.327,10
-15.284,3.648,-14.566,9
-15.715,7.508,-6.062,10
-13.512,13.244,-1.149,10
-18.013,17.276,-4.165,10
-15.38,-17.602,-8.973,9
-4.548,-10.515,-13.646,10
-0.622,-7.862,-12.354,10
-2.001,-8.561,-7.46,10
-3.323,-8.925,-0.689,9
-1.618,-6.924,3.169,10
3.112,-1.944,1.905,10
6.32,2.681,-0.746,10
5.267,4.022,-1.264,9
0.526,3.256,-2.662,10
-3.495,2.298,-2.978,10
-5.832,1.57,-1.091,10
-5.937,0.823,1.312,10
-5.152,-0.268,2.643,9
-3.61,-0.507,1.34,10
-1.972,-0.248,-0.287,10
-1.417,-0.507,-0.373,10
-0.593,-1.235,0.191,9
0.316,-1.589,0.469,10
0.833,-1.091,0.067,10
0.995,-0.383,-0.344,10
1.312,0,-0.555,9
1.493,0.21,-0.258,10
1.972,0.306,0.373,10
0.957,-1.896,2.135,10
-0.804,-6.138,6.062,10
-1.561,-11.089,10.668,9
-0.526,-13.886,11.559,10
1.398,-19.565,8.408,10
3.543,14.269,-6.818,10
5.928,8.906,-18.78,9
8.513,13.168,-11.166,10
9.251,18.09,-4.893,10
7.814,-18.31,-2.528,10
6.607,-14.939,-1.704,9
6.789,-17.793,-3.495,10
5.688,12.287,-8.906,10
-1.924,2.624,-2.164,10
-4.721,2.614,3.179,10
1.493,12.89,-2.365,9
4.232,-17.793,-3.84,10
4.012,-11.712,-5.104,10
3.782,-7.173,-4.711,9
3.715,-4.845,-5.161,10
2.528,-4.261,-5.497,10
1.484,-4.635,-5.458,10
0.555,-5.679,-4.319,10
-0.823,-6.914,-1.742,9
-2.537,-7,0.948,10
-2.537,-7,4.07,10
-3.208,-5.726,4.07,10
-2.729,-1.561,6.703,9
-1.637,0.842,7.23,10
0.047,2.997,7.173,10
1.465,4.194,6.291,10
2.173,6.052,6.042,9
2.422,6.531,6.368,10
1.302,5.88,5.928,10
1.35,5.487,5.209,10
2.087,5.995,4.702,10
2.566,4.941,3.725,9
2.595,3.438,2.614,10
2.566,1.082,1.292,10
2.901,-0.871,0.019,10
3.936,-2.978,-4.098,9
5.851,-7.192,-13.905,10
2.71,-13.168,-12.976,10
-0.66,-16.156,-11.252,10
-3.16,-15.073,-11.185,9
-5.726,-12.66,-14.259,10
-7.881,-7.862,-19.488,10
-7.422,-5.506,-3.744,10
-1.158,-0.43,17.65,10
7.623,-2.633,-16.05,9
11.741,15.456,-2.461,10
-5.382,2.595,-9.145,10
-4.501,3.064,-15.351,10
-4.309,-17.209,-18.684,9
-5.477,0.718,11.731,10
1.206,0.775,1.436,10
5.075,2.336,-0.699,10
14.844,5.975,-18.703,9
19.249,-1.149,-13.886,10
11.808,-14.949,4.405,10
12.469,12.65,2.403,10
11.597,9.423,-2.02,10
10.352,18.195,1.982,9
6.426,-17.19,3.169,10
3.112,-14.777,2.978,10
1.829,-14.202,4.271,9
2.001,-16.816,7.594,10
-0.373,19.421,9.653,10
-7.661,16.807,9.749,10
-19.057,14.365,9.653,10
16.634,15.351,2.097,9
20.197,-18.789,-6.205,10
-13.781,-11.204,-11.865,10
-8.207,-6.11,-11.884,10
-3.782,-2.221,-10.534,9
-1.369,-0.421,-9.212,10
-0.976,-1.082,-6.895,10
-1.589,-3.198,-4.453,10
-1.934,-4.242,-2.767,10
-1.905,-3.878,-0.919,9
-2.183,-3.236,2.135,10
-2.221,-1.675,4.165,10
-1.417,-0.565,5.65,9
-0.258,0.248,3.189,10
1.302,0.976,-0.363,10
2.557,1.723,-3.083,10
2.758,2.03,-2.518,10
1.972,1.35,-0.708,9
1.139,0.335,0.028,10
0.976,-0.143,0.421,10
1.015,-0.565,0.593,10
