x,y,z,dt
-6.694,-2.298,-1.781,10
-4.711,-3.208,-1.647,10
-4.137,-4.29,-1.656,9
-4.127,-4.999,-0.593,10
-3.39,-4.769,0.651,10
-2.442,-3.677,1.216,10
-1.867,-1.829,1.187,9
-1.484,0.143,0.421,10
-0.852,1.426,-0.181,10
0.086,1.551,-0.775,10
0.746,0.584,-0.028,9
1.11,-0.028,1.139,10
1.426,-0.114,1.379,10
1.762,-2.173,1.953,10
2.298,-6.062,4.261,9
3.361,-10.036,6.54,10
5.372,-13.915,4.788,10
6.502,18.904,-8.274,10
6.703,12.775,19.488,10
8.734,8.839,-16.548,9
9.184,3.122,-12.89,10
9.184,3.122,-12.89,10
8.81,2.595,-4.424,10
9.567,2.595,-0.411,9
13.637,4.28,1.216,10
15.945,16.156,1.886,10
12.526,-13.417,-3.562,10
4.692,-7.939,-14.834,10
-2.47,-5.688,19.009,9
-5.056,-4.788,-15.447,10
-6.282,-6.818,-9.95,10
-6.512,-7.575,-4.194,9
-5.908,-5.353,0,10
-3.256,-2.317,0.986,10
-0.402,-1.11,0.402,10
1.723,-1.493,1.321,10
3.457,-1.331,2.7,9
4.97,0.076,4.299,10
6.062,2.375,5.851,10
6.1,5.363,7.067,10
4.51,6.406,7.316,9
4.242,6.675,7.575,10
3.916,7.441,8.111,10
1.57,8.006,7.603,10
0.268,4.932,5.688,9
3.773,5.267,4.922,10
4.462,4.912,4.97,10
3.399,3.217,3.983,10
3.055,1.752,2.7,10
3.438,0.316,1.771,9
4.481,-1.628,2.078,10
5.64,-5.822,2.71,10
6.282,-13.723,0.095,10
4.213,10.936,-3.687,9
-0.689,2.853,-16.251,10
-8.121,12.765,5.688,10
-12.382,18.224,-11.808,10
-7.987,-14.393,-15.227,9
-2.173,-5.391,-10.333,10
11.741,-1.982,-12.478,10
12.277,1.503,15.696,10
6.78,-0.047,7.977,10
4.778,-4.606,-2.767,9
13.235,-6.684,7.862,10
11.817,-9.251,-11.415,10
8.973,-13.704,4.414,10
14.001,-20.207,4.73,9
16.318,-19.67,6.11,10
13.589,-20.053,5.353,10
10.419,18.167,5.679,10
7.709,13.455,5.305,9
2.48,6.454,-0.22,10
-14.911,2.595,-19.23,10
-14.92,2.595,4.52,10
-17.161,3.907,1.005,10
-5.88,15.026,18.885,9
5.142,-13.857,-18.54,10
7.211,-8.13,-9.662,10
5.918,-6.138,-3.763,9
5.391,-3.964,0.756,10
6.521,1.493,-1.934,10
4.232,4.165,-1.541,10
-1.905,1.522,-1.953,10
-8.034,-1.991,-2.92,9
-10.984,-3.217,-3.208,10
-9.222,-2.011,-2.825,10
-6.675,-2.26,-2.135,10
-4.865,-4.692,-1.532,9
-3.782,-4.989,0.047,10
-3.782,-4.989,2.154,10
-2.671,-4.003,2.154,10
-1.829,-2.202,2.614,9
-1.455,0.229,1.379,10
-1.302,2.518,-0.823,10
-0.258,2.777,-2.844,10
1.302,1.216,-1.043,9
1.896,-0.459,1.589,10
1.666,-0.871,3.007,10
1.599,-2.212,4.759,10
2.24,-5.592,7.776,10
3.869,-9.902,9.002,9
6.895,-15.782,4.242,10
8.523,14.786,-13.455,10
7.881,10.965,-17.219,10
9.26,13.551,-14.173,9
10.285,15.188,-10.984,10
11.53,8.504,-10.496,10
9.73,2.595,-5.65,10
7.651,2.595,-0.459,9
8.906,3.112,1.197,10
9.27,12.373,-0.105,10
5.985,-17.18,-3.351,10
3.055,-8.667,-8.37,10
-0.823,-4.223,-13.101,9
-2.901,-2.614,-10.745,10
-3.744,-3.275,-7.977,10
-3.332,-5.334,-3.744,10
-2.221,-4.558,0.967,9
0.162,-2.767,3.725,10
3.332,-1.446,4.845,10
5.123,-2.068,5.564,10
5.755,-1.934,6.148,9
7.594,0.9,6.301,10
9.797,5.42,5.688,10
10.151,9.452,5.382,10
6.904,11.75,5.439,9
3.754,11.731,5.315,10
-1.714,9.787,5.027,10
-5.65,4.395,6.014,10
-0.488,4.462,8.973,10
2.432,3.189,10.678,9
3.476,1.331,8.868,10
4.07,-0.134,5.41,10
4.252,-1.455,2.987,10
4.951,-4.462,1.742,9
6.56,-7.996,1.924,10
7.508,-16.012,-6.742,10
3.371,4.932,17.678,10
-7,7.996,13.445,9
-12.88,-18.722,-18.052,10
-8.58,-8.475,18.262,10
-4.213,-2.202,18.406,10
3.811,-4.759,17.343,9
12.334,-7.92,12.478,10
16.175,-10.208,7.967,10
11.492,-13.445,-1.043,10
8.025,-12.267,-14.221,10
8.082,-8.983,-14.154,9
7.967,-8.418,0.497,10
10.735,-12.373,2.987,10
12.392,-16.251,4.156,10
13.589,-17.448,4.568,9
13.436,-19.728,5.324,10
11.99,15.121,7.374,10
6.694,8.101,8.044,10
-10.266,2.595,-13.982,10
-14.824,2.595,-3.639,9
-14.824,2.595,4.271,10
-10.783,3.294,4.271,10
-3.763,14.939,-17.439,9
3.122,-12.181,18.042,10
3.342,-9.375,-11.3,10
2.806,-7.584,-1.944,10
3.562,-4.405,3.198,10
4.96,2.48,-0.325,9
3.007,5.698,-0.354,10
-2.365,2.93,-2.03,10
-7.46,-2.25,-4.874,10
-9.653,-2.557,-4.845,9
-8.504,-2.47,-3.428,10
-6.473,-2.863,-1.695,10
-5.171,-4.548,1.149,10
-4.481,-4.041,2.786,10
-4.108,-2.279,1.991,9
-4.424,-0.047,0.134,10
-4.616,1.149,-0.957,10
-3.543,1.139,-0.517,10
-1.762,0.057,1.666,9
-0.124,-0.727,2.844,10
1.398,-1.254,2.547,10
3.16,-1.273,1.465,10
5.286,-1.187,-0.21,9
7.671,-2.116,-0.995,10
7.594,-6.129,2.873,10
5.621,-13.455,5.889,10
6.55,-18.262,6.55,9
7.766,14.547,0.047,10
2.355,6.483,-14.365,10
3.926,8.532,-18.224,10
7.671,9.921,-17.918,9
9.682,3.351,-13.168,10
11.176,2.595,-2.183,10
15.552,2.595,-0.593,10
17.554,7.335,2.087,10
13.876,-17.927,3.572,9
8.36,-7.23,-2.078,10
2.815,-1.953,-8.896,10
-4.817,-1.359,-17.87,10
-7.163,-1.618,-12.325,9
-5.985,-3.859,-8.149,10
-3.849,-6.655,-2.796,10
-1.924,-7.115,1.35,10
0.459,-6.349,3.993,9
3.763,-4.855,4.252,10
5.755,-2.518,5.046,10
6.703,0.325,5.64,10
7.671,3.629,5.918,9
8.743,8.35,5.2,10
7.881,11.99,4.711,10
5.544,14.413,4.788,10
2.135,16.203,4.137,10
-2.662,10.927,2.93,9
-2.116,5.861,6.358,10
1.388,4.386,7.651,10
2.624,2.738,6.789,10
2.911,1.752,5.803,9
2.681,0.718,4.501,10
2.652,-0.344,3.849,10
4.309,-2.968,4.52,10
6.847,-6.378,4.529,9
7.211,-11.626,4.52,10
7.163,7.738,2.499,10
-1.8,2.738,15.121,10
-19.163,11.875,4.165,9
-11.53,-14.125,-2.892,10
-11.53,-14.125,11.674,10
-5.2,-6.311,11.674,10
1.369,-3.256,-18.933,10
10.17,-9.528,-13.934,9
10.927,-17.391,18.952,10
7.728,-16.165,9.385,10
5.037,-9.873,3.361,10
4.635,-3.888,0.948,9
3.955,-5.88,-2.499,10
6.54,-7.967,-16.28,10
10.429,-12.43,-12.459,10
10.16,-19.709,-3.409,10
12.459,-20.312,3.112,9
16.002,19.67,5.343,10
13.206,14.413,6.071,10
6.445,10.247,4.041,9
-12.306,2.978,-14.595,10
-15.552,2.959,-4.386,10
-17.171,8.216,-2.585,10
-11.224,14.01,-10.668,10
-2.317,-16.778,-12.813,9
1.158,-10.381,-9.682,10
2.681,-8.14,-5.085,10
3.246,-6.933,-1.628,10
4.606,-4.309,-0.995,9
5.736,0.373,-1.982,10
4.146,3.16,0.114,10
-1.225,2.327,0.603,10
-5.985,0.019,-0.746,10
-8.121,-0.948,-1.465,9
-7.201,-1.139,-1.877,10
-5.123,-1.934,-1.944,10
-3.6,-2.997,-1.369,10
-2.566,-3.543,-0.363,9
-1.838,-3.342,0.574,10
-0.995,-2.173,0.928,10
-0.105,-0.45,0.632,10
0.852,0.919,-0.047,9
1.877,1.474,-1.053,10
3.102,1.541,-1.34,10
3.696,1.053,0.153,10
4.003,1.484,0.986,9
4.625,1.886,-0.517,10
4.223,-1.235,0.201,10
1.168,-7.01,6.598,10
-0.584,-13.244,9.289,10
-0.861,-20.178,8.274,9
-0.861,10.429,-7.24,10
0.766,5.669,-16.606,10
3.782,10.026,-13.646,10
6.665,14.039,-11.741,9
9.519,13.187,-12.459,10
7.345,5.142,-8.609,10
8.226,2.595,-0.565,10
9.174,2.691,0.651,9
7.527,11.109,3.62,10
5.803,-17.937,-2.001,10
4.51,-9.825,-5.841,10
2.518,-4.347,-9.097,9
-0.574,-2.126,-11.53,10
-2.116,-2.442,-10.141,10
-2.001,-3.562,-8.149,10
-0.497,-4.022,-6.014,10
0.632,-4.912,-3.007,9
1.484,-5.228,-0.181,10
2.614,-3.859,2.652,10
3.476,-2.298,4.568,10
4.989,0.689,5.688,9
6.713,4.74,5.161,10
6.713,4.74,4.098,10
7.211,7.326,4.098,10
5.995,9.94,4.96,9
2.059,12.114,5.123,10
-3.811,8.264,6.627,10
-1.541,4.338,8.437,10
2.882,3.045,10.534,9
4.721,1.896,10.046,10
4.194,0.967,6.426,10
3.39,0.258,3.093,10
2.93,-0.239,0.976,10
2.94,-0.957,0.277,9
3.227,-2.997,0.201,10
2.748,-6.071,-1.81,10
0.928,-18.052,-18.215,10
-1.206,15.543,-15.677,9
-5.343,17.008,-14.92,10
-11.434,-16.165,-16.261,10
-9.844,-6.224,2.384,10
-5.774,-1.589,13.081,9
-1.292,-4.012,12.986,10
8.743,-13.599,7.881,10
-14.767,6.263,-1.072,10
-15.887,4.347,13.273,10
8.13,-18.569,9.911,9
-3.715,-5.573,4.453,10
-1.618,-5.573,-1.13,10
1.379,-1.666,-17.429,10
4.548,-3.428,-9.117,9
7.833,-13.694,0.277,10
13.292,-19.325,3.821,10
20.111,-19.967,5.88,10
18.674,18.942,5.861,9
12.267,17.065,5.602,10
5.583,17.238,5.583,10
0.153,14.374,5.535,10
-16.74,5.65,-11.089,9
-17.381,6.502,-13.8,10
-15.064,12.497,-6.665,10
-11.942,19.44,-6.263,10
-2.892,-12.555,-10.572,10
0.536,-7.91,-9.481,9
1.082,-6.186,-4.711,10
0.488,-5.181,-0.632,10
0.191,-4.673,-0.373,10
1.522,-2.432,-0.948,9
1.647,-0.555,-1.082,10
1.063,0.019,1.005,10
-0.488,0.201,0.488,10
-1.407,0.268,-0.995,9
-2.03,1.034,-1.513,10
-2.327,1.666,-1.369,10
-2.7,1.149,-1.656,10
-3.418,0,-1.139,9
-3.524,-0.727,0.756,10
-3.131,-1.206,2.202,10
-2.557,-0.881,2.317,10
-1.742,-0.067,1.177,9
-0.622,0.296,-0.565,10
0.928,0.459,-1.541,10
2.489,0.526,-1.388,10
2.193,-1.867,1.79,10
1.436,-5.746,6.847,9
2.557,-8.418,10.247,10
4.271,-11.185,10.85,10
7.91,-17.745,-0.928,10
9.27,13.474,-14.901,9
