x,y,z,dt
-1.292,-9.691,-2.537,10
-1.34,-9.605,-2.528,10
-1.35,-9.519,-2.595,9
-1.254,-9.548,-2.604,10
-1.235,-9.634,-2.585,10
-1.292,-9.72,-2.499,10
-1.292,-9.72,-2.375,10
-1.407,-9.806,-2.375,9
-1.474,-9.825,-2.298,10
-1.522,-9.758,-2.164,10
-1.484,-9.787,-2.097,10
-1.388,-9.979,-2.106,9
-1.312,-10.026,-2.202,10
-1.273,-9.844,-2.288,10
-1.283,-9.595,-2.394,10
-1.197,-9.452,-2.547,9
-1.053,-9.5,-2.624,10
-0.9,-9.5,-2.489,10
-0.746,-9.461,-2.346,10
-0.584,-9.423,-2.24,9
-0.44,-9.375,-2.269,10
-0.095,-9.327,-2.47,10
0.124,-9.279,-2.595,10
0.268,-9.251,-2.557,10
0.306,-9.318,-2.269,9
0.105,-9.461,-1.963,10
0.143,-9.806,-1.618,10
0.038,-10.007,-1.388,10
-0.21,-10.065,-1.312,9
-0.335,-10.256,-1.474,10
-0.478,-10.208,-1.608,10
-0.603,-10.036,-1.714,10
-0.584,-9.902,-1.819,9
-0.612,-9.777,-1.838,10
-0.651,-9.643,-1.733,10
-0.565,-9.576,-1.685,10
-0.517,-9.576,-1.57,9
-0.689,-9.452,-1.398,10
-0.641,-9.72,-1.168,10
-0.574,-9.672,-0.861,10
-0.45,-9.653,-0.689,10
-0.325,-9.662,-0.679,9
-0.229,-9.739,-0.756,10
-0.162,-9.768,-0.814,10
-0.181,-9.595,-0.804,10
-0.248,-10.055,-0.804,9
-0.296,-10.16,-0.641,10
-0.268,-10.103,-0.478,10
-0.277,-9.892,-0.411,10
-0.201,-9.883,-0.488,9
-0.239,-9.911,-0.402,10
-0.325,-9.969,-0.354,10
-0.402,-9.969,-0.296,10
-0.43,-9.816,-0.306,9
-0.536,-9.749,-0.411,10
-0.641,-10.036,-0.191,10
-0.469,-10.122,-0.009,10
-0.306,-10.046,-0.067,10
-0.057,-9.931,0.028,9
-0.095,-9.557,0.105,10
