x,y,z,dt
2.853,-8.609,-4.73,10
3.715,-6.703,-2.202,10
1.991,-6.234,-1.647,10
-0.038,-7.23,-3.505,9
-1.982,-9.538,-6.234,10
-4.012,-10.927,-7.929,10
-4.941,-10.477,-7.814,10
-5.554,-9.299,-6.445,9
-5.525,-7.805,-4.74,10
-4.194,-6.042,-3.016,10
-2.001,-4.165,-1.877,10
0.641,-1.944,-1.637,9
3.026,-0.047,-2.231,10
4.692,1.35,-2.796,10
5.956,1.896,-3.074,10
7.048,1.685,-2.643,10
7.747,0.746,-1.474,9
7.029,-1.063,-0.411,10
3.945,-3.189,0,10
1.541,-5.018,0.871,10
-0.402,-6.531,1.446,9
-2.135,-7.326,2.068,10
-3.093,-7.718,2.461,10
-3.524,-7.776,2.451,10
-3.438,-7.422,2.202,10
-3.064,-6.866,1.685,9
-2.643,-6.291,1.407,10
-2.049,-5.793,1.321,10
-1.302,-5.449,0.172,9
-0.258,-5.544,-5.353,10
-0.785,-5.391,-8.389,10
-3.964,-4.587,-3.61,10
-5.181,-3.514,0.746,10
-5.42,-4.548,3.648,9
-5.133,-7.211,5.554,10
-6.004,-10.735,4.568,10
-8.667,-17.64,-7.45,10
-8.667,-17.64,15.667,9
-3.945,14.652,15.667,10
-0.296,14.068,-15.035,10
0.354,16.529,-1.819,10
1.436,17.832,4.817,10
1.101,13.752,-1.034,9
8.552,14.135,-10.783,10
10.323,-16.548,-8.111,10
4.108,-5.803,-0.545,9
0.354,-0.239,0.44,10
0.842,-0.067,-1.905,10
2.47,-5.305,-4.213,10
2.825,-12.124,-4.29,10
1.771,-17.832,-4.098,9
0.881,19.996,-4.319,10
0.641,20.369,-4.204,10
1.283,-17.535,-3.418,10
2.413,-13.254,-2.911,10
2.92,-10.017,-2.097,9
2.346,-8.025,-1.13,10
1.321,-6.761,-0.325,10
0.325,-5.841,0.038,9
-0.383,-5.324,-0.574,10
-0.995,-5.506,-1.934,10
-1.551,-5.947,-3.533,10
-1.896,-6.799,-4.587,10
-1.848,-7.824,-4.453,9
-1.388,-8.341,-3.428,10
-1.005,-8.408,-1.972,10
-0.402,-8.063,-0.737,10
0.028,-7.077,-0.239,9
0.181,-5.717,-0.181,10
-0.239,-4.548,-0.632,10
-1.541,-4.07,-1.503,10
-2.451,-4.405,-2.595,9
-2.557,-5.046,-3.122,10
-2.231,-6.023,-2.806,10
-1.695,-6.933,-1.714,10
-0.737,-7.383,-0.469,9
0.383,-7.517,0.277,10
1.503,-7.45,0,10
2.375,-7.144,-0.268,10
2.959,-6.981,-0.325,10
3.466,-7.067,-0.708,9
3.936,-7.345,-0.938,10
4.28,-7.891,-1.11,10
4.472,-8.753,-1.436,10
4.319,-9.576,-1.484,9
4.098,-10.706,-1.283,10
3.409,-12.315,-1.321,10
3.399,-14.317,1.714,10
4.491,-17.458,2.557,9
6.062,-17.477,-4.932,10
4.242,-17.085,-11.779,10
0.727,-15.983,-13.646,10
-4.865,-16.883,-11.683,9
-7.757,-19.182,-6.454,10
-7.987,-19.938,-5.257,10
-6.847,-16.194,-7.795,10
-3.763,-11.243,-6.713,10
-1.829,-7.747,-3.792,9
-1.666,-5.908,-1.608,10
-2.011,-5.334,-1.446,10
-2.126,-6.732,-4.395,10
-2.212,-8.906,-8.006,9
-3.102,-8.906,-9.126,10
-3.102,-10.314,-9.126,10
-4.252,-10.572,-7.489,10
-3.926,-10.371,-5.583,9
-3.064,-9.653,-4.194,10
-2.087,-8.169,-2.949,10
-0.756,-6.014,-2.154,10
0.306,-4.338,-1.79,9
1.225,-3.026,-2.193,10
1.551,-2.154,-2.557,10
1.187,-2.145,-2.748,10
0.201,-2.365,-3.026,10
0.019,-2.949,-3.122,9
0.009,-3.888,-3.026,10
-0.057,-4.424,-2.509,10
-0.22,-4.721,-1.991,10
-0.392,-5.018,-1.589,9
-0.459,-5.238,-1.331,10
-0.478,-5.391,-1.244,10
-0.43,-5.401,-1.168,10
-0.44,-5.037,-1.072,9
-0.536,-4.252,-1.063,10
-0.718,-3.859,-0.804,10
-0.804,-4.194,-0.44,10
-0.823,-4.663,-0.172,10
-0.727,-5.181,-0.746,9
-0.277,-5.793,-1.857,10
0.43,-6.397,-3.064,10
0.89,-7.058,-4.347,10
0.526,-8.034,-5.257,9
-0.89,-9.289,-5.238,10
-2.93,-10.333,-3.993,10
-4.797,-11.042,-2.164,10
-6.349,-12.449,-1.35,10
-7.556,-14.556,-1.819,9
-7.671,-16.232,-1.771,10
-6.483,-18.243,-2.738,10
-5.19,-19.603,-5.985,10
-3.552,-18.962,-8.868,9
1.053,-16.127,-7.805,10
4.769,-12.976,-1.331,10
4.28,-10.477,4.654,10
2.786,-6.588,6.751,9
0.181,-3.485,1.264,10
0.143,-5.382,-10.764,10
7.249,-17.611,-16.711,10
10.477,12.114,-9.27,9
4.606,12.698,1.398,10
-1.379,-17.18,4.817,10
-1.168,-7.699,1.972,10
1.12,-3.438,-5.477,10
2.557,-4.912,-8.389,9
4.204,-9.95,-5.42,10
4.529,-13.081,-2.183,10
3.6,-14.164,-1.139,9
2.806,-13.369,-1.608,10
2.48,-11.683,-2.576,10
2.384,-10.505,-2.806,10
1.79,-9.854,-2.604,10
0.938,-9.337,-1.857,9
0.363,-8.829,-1.005,10
0.248,-8.274,-0.612,10
0,-7.718,-1.072,10
-0.268,-7.45,-1.934,9
-0.268,-7.45,-2.662,10
-0.507,-7.431,-2.662,10
-0.488,-7.536,-2.863,10
-0.019,-7.68,-2.671,9
0.43,-7.728,-2.422,10
0.823,-7.766,-2.059,10
0.957,-7.594,-1.762,10
1.082,-7.163,-1.723,9
1.312,-6.55,-1.79,10
1.513,-5.822,-1.953,10
1.35,-5.276,-2.403,10
