x,y,z,dt
0.047,16.979,-10.333,10
2.729,16.395,-11.31,9
3.514,-16.74,-6.445,10
1.407,-9.682,0.277,10
-1.982,-5.726,3.141,10
-3.083,-3.878,2.25,9
-1.312,-4.175,1.647,10
0.66,-7.259,0.622,10
1.379,-11.109,-0.114,10
1.589,-14.077,-0.344,9
1.532,-15.897,-0.909,10
1.877,-15.61,-1.503,10
2.834,-12.497,-1.57,10
3.007,-9.787,-1.206,9
1.896,-8.561,-0.153,10
0.804,-7.843,0.43,10
0.248,-7.096,0,10
0,-6.856,-1.34,10
0.067,-7.192,-2.92,9
0.277,-8.073,-3.811,10
0.584,-8.887,-3.447,10
0.804,-9.03,-2.221,10
0.919,-8.341,-0.727,9
0.861,-7.316,0.153,10
1.101,-6.56,-0.229,10
1.561,-5.717,-1.465,10
1.522,-4.932,-2.193,9
0.9,-4.922,-2.528,10
0.114,-5.573,-2.336,10
-0.095,-6.157,-1.446,10
0.191,-6.502,-0.325,9
0.545,-6.694,0.555,10
0.89,-6.914,0.948,10
1.379,-7.326,0.842,10
1.886,-7.824,0.373,10
2.365,-8.216,-0.172,9
2.365,-8.216,-0.737,10
2.767,-8.465,-0.737,10
2.853,-8.599,-0.746,10
2.116,-8.82,-0.373,9
1.139,-8.896,-0.622,10
0.344,-8.935,-1.934,10
-0.086,-9.107,-3.62,10
0.095,-9.538,-4.443,9
0.804,-9.758,-3.62,10
1.11,-10.007,-3.093,10
0.641,-10.898,-2.604,10
-0.162,-12.267,-3.064,10
-0.383,-13.637,-4.098,9
0,-15.428,-4.692,10
1.13,-16.031,-5.276,10
1.714,-15.887,-5.477,10
2.126,-16.663,-4.194,9
2.547,-16.156,-2.7,10
2.93,-14.298,-1.513,10
1.675,-12.459,-2.461,10
-0.488,-11.903,-4.941,9
-1.666,-14.403,-6.378,10
-3.198,-17.094,-8.762,10
-5.497,-16.29,-9.979,10
-5.228,-13.503,-7.805,9
-3.236,-10.63,-4.271,10
-1.225,-9.05,-1.886,10
-0.296,-8.887,-2.202,10
-0.43,-9.366,-4.481,10
-0.708,-9.461,-6.263,9
-1.12,-8.772,-6.435,10
-2.001,-7.987,-5.487,10
-2.317,-7.307,-4.261,10
-1.628,-6.914,-3.38,9
-0.995,-6.579,-2.691,10
-0.593,-6.129,-2.078,10
-0.095,-5.391,-1.896,10
0.124,-4.386,-1.991,9
0.277,-3.39,-2.336,10
0.402,-2.585,-2.758,10
0.565,-2.269,-2.949,10
0.89,-2.116,-3.313,10
1.024,-2.078,-3.189,9
0.919,-2.126,-2.652,10
1.015,-2.308,-2.25,10
1.235,-2.901,-1.963,10
1.063,-3.936,-1.628,9
0.392,-5.075,-0.976,10
-0.21,-6.1,0.584,10
-0.526,-7.182,1.589,10
-0.679,-8.034,1.819,9
-0.823,-8.504,1.426,10
-0.785,-9.088,0.746,10
-0.44,-9.184,-0.095,10
0.114,-8.647,-1.81,9
0.746,-7.833,-4.845,10
0.191,-6.694,-8.408,10
