x,y,z,dt
0.9,6.531,3.792,9
1.407,6.962,3.581,10
1.944,7.125,3.284,10
2.748,6.847,3.074,10
3.256,6.339,2.729,10
3.428,5.803,1.944,9
3.275,5.583,0.852,10
2.729,5.688,-0.373,10
1.608,6.426,-1.13,10
0.373,8.044,-1.149,9
-0.833,9.979,-2.566,10
-1.953,12.105,-6.416,10
-2.863,13.876,-10.438,10
-3.495,14.144,-12.143,10
-3.591,12.248,-10.093,9
-3.342,9.854,-5.669,10
-3.122,8.073,-0.421,10
-3.667,7.316,2.193,10
-4.472,8.207,-1.11,9
-4.893,10.601,-6.761,10
-5.008,13.005,-9.356,10
-5.391,13.522,-8.121,10
-5.554,12.085,-4.319,9
-5.085,9.998,-0.076,10
-4.491,9.452,2.193,10
-3.418,10.381,1.561,10
-1.819,12.239,-0.43,9
-1.091,14.441,-1.695,10
-2.403,16.759,-7.335,10
-1.742,14.796,2.403,10
-0.335,9.442,11.444,9
0.411,4.788,10.189,10
0.976,1.944,6.684,10
1.513,-0.354,2.365,10
1.34,-1.369,1.005,10
0.565,2.451,3.505,9
0.411,6.196,4.223,10
0.086,9.864,3.351,10
-1.254,13.675,-0.181,10
-3.955,16.96,-4.118,9
-6.713,18.205,-3.533,10
-8.264,16.749,-1.331,10
-6.703,16.749,0.287,10
-6.703,11.903,0.287,9
-4.156,8.216,0.938,10
-2.221,6.138,0.632,10
-0.66,5.42,0.191,10
0.565,5.679,-0.373,9
1.273,6.349,-1.024,10
0.995,7.01,-1.608,10
-0.44,7.814,-1.924,10
-2.068,8.341,-2.126,10
-3.409,8.657,-2.231,9
-4.07,8.59,-2.059,10
-4.28,8.207,-1.762,10
-4.089,7.996,-1.264,10
-3.801,7.709,-1.216,9
-3.696,7.297,-1.714,10
-3.916,7.048,-2.317,10
-4.252,7.086,-2.499,10
-4.386,7.594,-1.685,9
-4.194,8.121,-0.775,10
-4.252,8.082,-1.589,10
-4.644,7.766,-3.811,10
-4.711,8.197,-4.041,9
-4.51,8.762,-3.016,10
-3.706,9.021,-3.763,10
-2.729,9.069,-5.228,10
-2.346,8.963,-5.209,10
-1.608,8.599,-4.405,9
-0.335,8.494,-4.376,10
0.507,8.628,-4.74,10
1.158,8.868,-3.667,10
1.934,9.097,-0.756,9
1.79,8.848,3.275,10
1.024,7.766,5.87,10
0.143,6.33,6.579,10
-0.373,4.673,6.129,9
-0.651,2.863,5.018,10
-0.995,1.283,3.639,10
-1.063,0.076,1.905,10
-0.689,0.047,0.239,10
-1.608,2.001,-0.622,9
-3.6,4.874,-1.13,10
-5.544,8.121,-0.526,10
-6.598,10.965,0.785,10
-6.473,12.909,1.043,9
-5.861,14.02,-0.909,10
-4.683,15.006,-3.39,10
-3.677,16.06,-4.003,10
-3.725,16.529,-3.811,9
-4.06,16.376,-3.974,10
-2.681,15.782,-4.242,10
-0.21,14.853,-4.501,10
1.034,13.283,-4.252,10
1.312,10.773,-3.227,9
0.938,7.738,-1.493,10
0.114,4.874,0.507,10
-0.536,4.338,1.944,10
-0.641,5.133,1.953,9
-0.689,5.583,-0.287,10
-1.407,6.291,-3.639,10
-2.212,7.671,-5.583,10
-3.351,8.465,-6.32,9
-4.836,7.45,-7.479,10
-5.861,7.45,-7.632,10
-5.861,4.788,-7.632,10
-5.487,1.503,-5.87,9
-2.106,-1.589,-3.763,10
1.857,-2.978,-1.762,10
3.907,-2.997,-1.359,10
5.391,-1.972,-3.371,10
5.372,2.164,-4.97,9
5.861,8.858,-7.584,10
4.194,14.02,0.632,10
0.842,16.433,8.13,10
-0.497,19.967,8.657,9
-1.513,-18.224,8.073,10
-4.367,-15.945,0.756,10
-13.915,-15.361,18.167,10
-12.832,-18.579,-4.587,9
-8.092,17.094,7.469,10
-5.19,12.536,7.374,10
-3.888,7.987,-0.756,10
-4.951,4.903,-13.484,9
-5.679,9.107,-6.253,10
-4.644,12.65,-5.305,10
-4.108,13.512,-10.764,10
-2.652,13.024,-11.846,9
-0.143,12.258,-7.613,10
