x,y,z,dt
16.414,-18.607,12.555,10
17.132,12.871,-16.587,9
15.983,3.122,17.994,10
13.541,12.842,-14.978,10
14.69,-12.689,-2.873,10
14.135,-6.713,12.698,9
11.156,-3.667,16.874,10
8.714,-2.47,12.277,10
7.862,-6.579,3.361,10
10.036,-12.698,-6.885,10
8.801,-14.949,1.819,9
8.331,-14.326,4.874,10
7.278,-11.98,1.149,10
4.702,-9.969,-3.591,10
2.92,-9.289,-3.447,9
2.097,-9.05,-1.551,10
1.675,-8.427,0.095,10
2.126,-8.169,1.35,10
2.126,-8.169,2.279,9
2.375,-8.111,2.279,10
2.365,-7.546,2.671,10
1.886,-6.713,2.26,10
0.986,-6.196,0.842,9
-0.957,-5.583,-4.319,10
-2.145,-4.903,-7.0,10
-1.082,-5.669,-3.859,10
-0.105,-7.153,-2.959,10
0.67,-8.734,-4.07,9
2.652,-8.389,-3.208,10
4.778,-7.029,-1.12,10
5.497,-6.933,0.277,10
5.698,-7.249,0.114,9
6.177,-7.096,-0.756,10
6.703,-6.809,-1.024,10
7.699,-6.493,-1.043,10
9.069,-6.263,-0.852,10
10.113,-6.837,0.124,9
10.984,-8.283,0.593,10
11.31,-10.122,-0.507,10
10.84,-11.779,-2.384,9
9.509,-12.009,-2.202,10
9.069,-11.884,-1.417,10
8.935,-12.21,-1.273,10
9.097,-12.038,-2.049,10
9.145,-10.783,-3.122,9
9.088,-9.548,-2.432,10
9.03,-9.145,-1.13,10
9.165,-9.222,-0.967,10
9.394,-10.208,-0.651,10
9.988,-11.913,0.114,9
10.093,-12.631,0.919,10
9.825,-11.913,2.317,10
9.117,-11.166,3.438,10
8.082,-10.754,3.84,9
7.058,-10.591,3.715,10
6.397,-11.195,3.265,10
6.512,-12.679,1.244,10
8.111,-13.618,-1.877,9
9.576,-13.484,-2.48,10
9.864,-12.124,-0.775,10
9.021,-10.4,1.149,10
7.996,-8.944,2.078,9
6.971,-8.178,2.461,10
5.535,-7.92,2.528,10
4.098,-7.843,2.375,10
3.227,-7.594,2.327,9
3.045,-7.249,2.461,10
3.562,-6.483,2.365,10
4.156,-5.947,2.47,10
4.759,-5.592,2.671,9
5.104,-5.688,3.217,10
5.228,-5.851,3.667,10
4.874,-6.11,3.983,10
3.907,-6.167,3.792,9
