x,y,z,dt
-4.903,-10.706,-0.316,10
-5.343,-9.481,-1.493,10
-6.023,-9.193,-2.25,10
-6.713,-8.781,-3.131,9
-7.297,-7.977,-2.298,10
-7.029,-7.642,-1.407,10
-5.966,-6.866,-1.235,10
-4.386,-5.698,0.373,10
-2.528,-3.744,1.34,9
-0.354,-1.369,1.628,10
1.666,0.823,0.258,10
3.236,2.413,-1.168,10
4.022,2.987,-2.164,9
3.275,2.93,-2.269,10
1.273,1.915,-1.312,10
-0.622,0.268,-0.22,10
-2.059,-1.81,0.699,10
-3.399,-3.993,1.024,9
-4.299,-5.995,1.484,10
-4.644,-7.709,1.704,10
-4.75,-9.251,1.082,9
-5.094,-10.697,-0.497,10
-5.88,-11.645,-2.729,10
-6.77,-11.338,-4.185,10
-6.722,-10.093,-3.591,10
-4.529,-7.929,-0.948,9
-1.082,-6.042,1.283,10
1.532,-4.778,1.235,10
3.007,-3.342,1.053,10
4.424,-0.775,0.296,9
4.721,2.298,-0.632,10
3.706,4.855,-0.565,10
1.848,6.244,0.746,10
1.848,6.244,0.746,9
-0.076,6.675,2.02,10
-1.752,4.577,3.227,10
-3.284,-0.239,4.52,10
-5.487,-5.487,6.081,10
-7.067,-10.965,3.026,9
-8.475,-18.579,-2.461,10
-12.411,12.909,-7.096,10
19.077,10.687,-2.614,10
14.422,-20.168,-6.119,9
-12.66,-12.631,-9.289,10
-4.127,-11.549,-4.606,10
0.335,-11.252,-0.316,10
3.572,-14.489,-0.21,9
4.941,16.338,-8.695,10
4.702,7.086,-13.646,10
4.462,12.564,-4.932,10
3.505,-15.275,-0.009,9
1.34,-9.059,0.938,10
-1.647,-6.809,1.321,10
-3.916,-6.454,-0.268,10
-6.119,-9.346,-1.398,10
-8.36,-13.982,-2.183,9
-8.896,-15.792,-4.012,10
-6.224,-14.039,-5.228,10
-4.07,-12.804,-4.328,10
-3.581,-12.469,-3.189,9
-5.822,-11.195,-1.541,10
-10.84,-4.865,-0.775,10
-16.893,1.905,0.335,10
-16.912,5.497,1.101,9
-11.089,5.966,1.187,10
-6.263,5.372,6.11,10
-1.857,3.543,7.153,10
1.235,2.834,5.018,10
3.361,-1.244,3.476,9
3.811,-6.387,1.991,10
2.882,-11.08,-0.028,10
0.938,-15.495,-3.227,10
-2.796,20.484,-10.381,9
-6.531,18.789,-15.945,10
-9.26,-17.554,-12.047,10
-9.969,-12.689,-8.13,10
-9.519,-9.49,-7.383,9
-7.527,-6.665,-9.854,10
-3.112,-5.056,-12.105,10
1.628,-5.286,-11.683,10
4.252,-5.343,-10.611,9
4.826,-5.363,-8.571,10
5.439,-5.602,-5.525,10
4.405,-5.573,-4.386,10
1.944,-4.644,-4.261,9
-0.383,-3.179,-2.844,10
-2.231,-2.02,-0.047,10
-4.07,-2.202,3.581,10
-4.501,-3.007,6.368,10
-4.012,-4.012,6.349,9
-2.949,-4.558,3.744,10
-1.637,-4.309,1.541,10
-0.363,-3.581,0.201,10
0.545,-2.7,-0.871,10
1.781,-2.193,-1.446,9
2.212,-2.193,-2.375,10
2.212,-2.509,-2.375,10
2.078,-3.026,-3.533,10
2.355,-3.543,-5.324,9
2.834,-3.399,-7.23,10
0.995,-1.35,-4.616,10
-4.347,-1.283,2.719,10
-11.875,-3.217,3.562,9
-15.504,-8.858,-0.718,10
-15.792,-18.215,-0.201,10
