x,y,z,dt
8.197,-10.726,-0.967,10
9.337,-11.147,-1.848,9
9.318,-10.84,-0.727,10
8.169,-10.4,-0.603,10
6.684,-10.955,-0.517,10
5.937,-11.769,-1.503,9
5.937,-12.066,-3.045,10
6.56,-11.875,-2.269,10
6.694,-11.875,-0.679,10
6.694,-12.22,-0.679,9
6.138,-13.158,-0.45,10
5.564,-14.259,0.009,10
5.238,-14.968,1.723,10
4.884,-14.978,3.026,9
4.769,-15.15,3.303,10
4.922,-15.514,3.055,10
4.577,-15.983,2.346,10
3.466,-17.64,-0.871,10
0.967,19.46,-9.097,9
-0.277,17.918,-9.777,10
-0.545,20.14,-3.83,10
-0.775,-18.052,2.269,10
-0.517,-15.112,5.592,9
0.028,-12.89,5.841,10
0.526,-10.515,4.558,10
0.804,-8.092,3.131,10
0.842,-6.77,2.815,9
0.842,-6.263,2.834,10
1.015,-5.899,2.595,10
1.158,-5.305,2.011,10
1.321,-4.778,1.465,9
1.273,-4.424,1.742,10
0.775,-4.127,2.394,10
0.019,-3.869,2.987,10
-0.679,-3.533,3.236,9
-1.426,-3.16,3.217,10
-2.126,-2.537,2.853,10
-2.576,-1.877,2.327,10
-2.738,-1.283,1.733,10
-2.336,-0.967,1.244,9
-1.589,-0.928,0.842,10
-0.718,-1.139,0.469,10
0.181,-1.493,-0.22,10
1.082,-1.8,-1.13,9
1.886,-2.097,-2.164,10
2.557,-2.834,-3.706,10
3.198,-4.807,-6.464,10
4.999,-9.346,-11.894,9
9.136,-17.535,17.899,10
12.172,16.558,15.887,10
11.022,16.194,-14.46,10
9.653,19.249,-7.22,9
8.475,-17.736,-3.026,10
5.171,-11.741,-0.766,10
0.785,-6.809,-2.652,10
-3.648,-3.572,-6.703,10
-5.87,-1.733,-7.498,9
-3.543,-1.187,0.306,10
-1.628,-2.528,5.726,10
0.794,-6.454,8.341,10
8.293,-17.314,-6.397,9
10.898,19.287,5.046,10
9.107,20.015,14.939,10
7.096,-18.54,4.989,10
0.306,-10.831,-11.607,9
-1.79,-5.516,-5.324,10
-0.517,-5.41,3.466,10
-0.383,-5.746,7.307,10
-0.383,-5.746,8.523,9
0.239,-6.56,8.523,10
2.212,-8.916,10.026,10
4.242,-11.702,9.959,10
7.603,-14.202,4.769,10
10.726,-14.987,-0.775,9
10.879,-14.068,-0.517,10
9.394,-12.047,0.727,10
7.211,-9.883,0.861,10
4.97,-8.255,0.411,9
2.738,-7.527,0.181,10
0.804,-8.044,0.325,10
-0.268,-8.542,0.641,10
-0.603,-8.322,0.881,9
-0.497,-7.891,1.034,10
-0.105,-7.709,1.446,10
0.162,-7.805,1.953,10
0.373,-7.69,2.355,10
0.497,-7.259,2.355,9
0.555,-6.818,1.944,10
0.66,-6.339,1.446,10
0.814,-5.928,0.641,10
0.584,-5.554,-2.777,9
0.143,-5.995,-5.439,10
0.478,-7.575,-2.279,10
1.762,-8.762,0.909,10
2.987,-9.078,2.336,9
3.687,-9.337,1.618,10
4.865,-9.423,-1.905,10
5.477,-9.548,-3.907,10
4.759,-9.634,-2.039,9
3.275,-9.548,-0.478,10
2.078,-9.672,0.976,10
2.825,-9.758,2.815,10
4.51,-9.624,3.84,10
6.186,-9.768,2.93,9
8.724,-10.199,-0.718,10
10.735,-10.563,-2.25,10
10.668,-10.879,0.287,10
9.71,-11.53,0.9,9
8.312,-12.172,-0.047,10
6.675,-12.325,-0.718,10
5.918,-12.583,-0.181,10
6.416,-13.57,0.134,9
6.78,-14.279,-0.775,10
