x,y,z,dt
2.738,-5.027,7.383,10
4.204,-5.506,9.203,10
5.401,-7.709,10.429,9
6.196,-10.907,10.17,10
6.502,-13.081,8.427,10
6.215,-13.905,5.889,10
8.092,-13.034,-3.993,9
8.092,-10.409,-8.877,10
4.165,-9.873,-2.911,10
1.541,-11.109,2.039,10
0.775,-10.783,3.236,9
0.995,-8.647,2.317,10
1.187,-6.885,1.532,10
1.283,-5.88,1.369,10
1.244,-5.698,1.628,9
1.082,-6.11,1.733,10
0.861,-6.598,1.589,10
0.67,-6.914,1.225,10
0.612,-6.789,0.718,10
0.746,-6.598,0.019,9
0.948,-6.215,-1.206,10
0.89,-5.688,-3.696,10
0.641,-5.688,-4.941,10
0.641,-5.736,-4.941,9
1.704,-6.818,-1.963,10
3.035,-8.082,1.819,10
3.189,-8.667,3.102,10
3.61,-9.069,2.059,9
5.928,-9.605,-4.836,10
5.793,-11.128,-5.822,10
3.715,-11.262,0.201,10
3.993,-10.524,2.93,9
5.267,-9.931,4.548,10
6.473,-9.969,4.405,10
8.762,-10.524,1.857,10
11.731,-11.808,-3.38,10
11.99,-13.742,-1.264,9
9.787,-14.891,-0.411,10
7.249,-12.938,-4.979,10
6.167,-11.425,-1.915,10
6.177,-12.229,-0.306,9
7.249,-11.932,-4.74,10
9.05,-10.754,-1.58,10
8.916,-10.409,2.279,10
7.766,-11.137,2.729,9
7.058,-13.196,1.934,10
6.569,-14.432,2.346,10
6.119,-15.179,3.744,10
5.65,-16.079,3.648,10
4.453,-17.784,1.101,9
2.92,-20.207,-2.873,10
1.742,18.023,-6.157,10
1.082,16.376,-6.062,10
0.526,17.726,-2.729,9
-0.21,-20.226,0.852,10
-0.153,-16.376,3.543,10
0.373,-12.823,5.104,10
0.603,-10.496,5.468,9
1.13,-8.58,4.194,10
1.819,-6.512,1.886,10
2.212,-4.788,0.478,10
2.298,-3.667,0.488,10
2.202,-3.16,1.455,9
1.934,-2.853,1.963,10
1.618,-2.834,2.652,10
1.158,-2.92,3.303,10
0.296,-2.949,3.667,9
-0.641,-2.691,3.801,10
-1.857,-2.442,3.734,10
-3.016,-2.193,3.495,10
-4.194,-1.896,2.873,9
-4.769,-1.484,2.288,10
-4.338,-1.063,1.752,10
-2.853,-0.842,1.082,10
-1.34,-0.995,0.517,9
-0.095,-1.168,-0.047,10
1.197,-1.158,-0.651,10
2.346,-1.005,-1.446,10
3.246,-1.264,-2.873,10
3.955,-2.681,-5.564,9
5.43,-6.167,-10.793,10
10.438,-14.307,-19.048,10
15.543,17.372,14.326,10
14.441,13.991,-17.334,9
12.708,14.729,-10.515,10
11.262,17.391,-6.062,10
7.738,17.391,-3.84,10
7.738,-15.322,-3.84,9
2.317,-7.086,-5.382,10
-3.371,-3.457,-8.504,10
-5.995,-2.279,-7.948,10
-5.621,-3.572,-2.997,9
-3.955,-6.837,3.859,10
0.545,-10.658,12.354,10
6.004,-20.494,1.388,10
10.266,17.017,0.919,10
7.297,-20.484,8.973,9
4.73,-12.009,6.426,10
1.446,-4.041,-0.708,10
0.325,-0.306,-2.844,10
1.158,-1.015,2.882,10
2.537,-2.106,6.598,9
3.945,-4.367,8.226,10
4.96,-7.929,8.408,10
5.803,-11.559,7.517,10
7.364,-14.585,3.122,9
9.5,-16.089,-4.06,10
9.155,-15.188,-2.968,10
6.215,-12.66,1.244,9
3.15,-11.243,3.399,10
1.532,-10.457,3.189,10
0.948,-9.346,1.704,10
0.775,-7.967,0.373,10
0.785,-6.943,0.0,9
0.881,-6.703,0.718,10
0.995,-6.751,1.666,10
1.024,-6.885,2.173,10
0.976,-6.943,2.221,9
1.005,-6.971,2.02,10
1.158,-6.952,1.771,10
1.369,-6.789,1.426,10
1.474,-6.569,0.756,9
0.957,-6.205,-3.303,10
-0.172,-6.186,-7.345,10
0.258,-6.981,-3.6,10
1.81,-8.044,0.775,9
3.16,-9.002,2.652,10
3.811,-9.27,1.944,10
5.583,-9.835,-3.543,10
6.502,-11.425,-7.536,10
4.338,-12.143,-2.461,9
3.581,-10.888,1.312,10
4.472,-9.576,4.079,10
5.793,-9.289,5.133,10
7.852,-9.634,3.562,9
11.693,-10.323,-2.758,10
13.283,-11.587,-2.365,10
12.229,-12.421,0.804,10
10.132,-11.971,-1.225,9
8.149,-11.195,-1.283,10
7.038,-10.975,-0.986,10
7.249,-11.482,-2.528,10
8.35,-12.248,-1.187,9
8.829,-12.966,1.043,10
8.216,-14.106,2.173,10
7.125,-14.777,2.767,10
6.349,-15.342,3.792,10
5.525,-16.203,4.003,9
4.261,-17.966,1.13,10
2.691,-20.398,-2.585,10
1.244,-20.398,-5.114,10
1.244,18.262,-5.114,9
0.335,16.395,-4.702,10
-0.277,17.18,-1.493,10
-1.177,20.101,0.689,10
-1.446,-17.286,2.173,9
-0.756,-13.915,3.505,10
-0.258,-11.396,4.309,10
0.114,-9.739,4.424,10
0.689,-8.034,3.093,10
1.407,-6.186,1.235,9
1.771,-4.644,0.162,10
1.79,-3.744,0.469,10
1.723,-3.131,1.34,10
1.714,-2.681,2.489,9
1.532,-2.231,3.332,10
1.149,-1.685,4.271,10
0.43,-1.398,4.548,10
-0.641,-1.379,4.386,9
-1.666,-1.407,3.84,10
-2.633,-1.57,3.246,10
-3.313,-1.752,2.873,10
-3.897,-1.331,3.351,9
-3.026,-1.436,0.296,10
-1.091,-2.489,-0.363,10
0.373,-3.562,-0.842,10
1.072,-3.256,-1.321,10
1.292,-1.857,-1.982,9
1.714,-1.072,-3.083,10
2.595,-1.675,-5.363,10
5.056,-4.874,-11.396,10
12.152,-13.982,16.998,9
17.171,16.366,15.102,10
14.709,16.338,-14.729,10
11.645,16.883,-6.751,10
9.71,-20.274,-1.819,9
3.907,-11.396,-4.031,10
-0.373,-6.406,-8.714,10
-1.312,-6.358,-8.446,10
-0.603,-12.354,-6.263,9
1.829,-15.744,-0.363,10
4.97,-16.29,8.236,10
8.073,-19.364,4.079,10
8.149,-15.591,10.026,10
3.543,-10.352,9.069,9
-1.829,-4.079,2.403,10
-3.562,0.421,-2.786,10
0.66,-1.024,0.804,10
2.92,-3.514,6.1,9
2.863,-4.788,7.268,10
3.15,-7.929,7.326,10
4.146,-11.635,5.717,10
5.238,-14.432,3.897,9
5.372,-15.6,2.652,10
4.52,-15.782,2.231,10
2.93,-14.614,2.135,10
1.608,-11.568,1.158,9
2.346,-8.274,-0.411,10
3.074,-7.058,-0.842,10
3.332,-7.354,0.086,10
3.007,-8.35,0.785,10
2.585,-8.896,1.417,9
2.375,-8.992,1.953,10
2.375,-8.992,2.202,10
2.576,-9.05,2.202,10
2.681,-9.165,2.375,9
2.662,-9.002,2.097,10
2.557,-8.283,1.235,10
2.422,-7.374,0.478,10
2.183,-6.531,0.057,10
2.231,-5.631,-0.612,9
2.24,-4.711,-1.915,10
1.829,-4.223,-2.691,10
1.388,-4.922,-1.417,9
1.57,-6.282,0.545,10
2.652,-7.45,0.574,10
4.089,-8.753,-1.484,10
5.161,-9.892,-3.179,10
4.721,-11.137,-2.853,9
3.39,-11.789,-2.173,10
2.92,-11.252,-0.191,10
4.175,-10.419,2.815,10
5.88,-9.911,4.261,9
7.651,-10.39,3.217,10
10.85,-11.683,-1.886,10
12.593,-13.503,-2.633,10
11.645,-14.805,0.287,9
9.471,-13.876,-1.972,10
7.335,-12.497,-2.461,10
6.311,-12.459,-0.794,10
