x,y,z,dt
-0.402,-16.213,1.321,9
-0.718,-17.726,0.852,10
-0.593,-18.78,1.369,10
-0.986,-18.454,0.565,10
-2.604,-16.28,-1.704,9
-3.734,-14.451,-3.122,10
-3.6,-13.666,-3.045,10
-2.729,-13.292,-2.662,10
-2.135,-13.273,-2.987,9
-1.187,-12.536,-3.351,10
0.114,-11.903,-3.552,10
1.264,-11.99,-3.38,10
2.03,-12.641,-3.533,9
2.738,-13.053,-4.012,10
2.758,-13.474,-3.974,10
2.758,-13.713,-2.978,10
2.432,-13.599,-1.953,10
1.379,-13.158,-1.197,9
-0.181,-12.306,-0.45,10
-1.216,-10.936,0.804,10
-1.896,-9.433,1.733,10
-3.045,-8.561,2.499,9
-4.577,-8.14,2.71,10
-5.295,-7.422,0.775,10
-4.357,-7.651,-2.422,10
-1.417,-8.695,-6.416,9
0.909,-10.046,-7.9,10
1.158,-10.496,-5.784,10
0.028,-9.95,-2.499,10
-1.177,-8.149,-0.517,9
-1.628,-6.282,0.0,10
-1.158,-4.692,-0.268,10
-0.718,-3.916,-1.082,10
-0.354,-3.514,-1.283,10
-0.555,-3.878,-1.637,9
-0.708,-4.759,-2.834,10
-0.268,-4.96,-2.968,10
0.344,-4.96,-2.7,10
0.344,-4.989,-2.7,9
0.344,-4.692,-2.873,10
-0.354,-4.242,-2.825,10
-1.254,-3.409,-3.265,10
-1.857,-2.729,-3.715,9
-2.212,-3.093,-3.572,10
-1.896,-3.6,-3.217,10
-1.407,-4.376,-3.122,10
-0.689,-4.692,-3.696,10
0.067,-4.175,-5.516,9
0.344,-2.949,-5.947,10
-0.019,-3.936,-6.895,10
0.909,-5.324,-7.316,10
0.651,-4.635,-6.856,9
0.459,-4.453,-6.789,10
0.574,-4.587,-6.675,10
0.574,-4.347,-6.607,10
0.66,-4.031,-6.789,9
0.871,-3.888,-7.517,10
1.005,-3.6,-8.13,10
0.679,-3.303,-7.996,10
-0.536,-4.414,-8.513,9
-2.882,-10.735,-11.185,10
-4.692,-14.432,-13.292,10
-4.434,-10.63,-12.344,10
-2.777,-12.22,-12.287,9
0.143,-13.599,-10.505,10
2.02,-10.994,-7.546,10
0.383,-7.278,-4.683,10
0.047,-5.267,-5.161,10
1.359,-6.828,-6.129,9
1.197,-8.293,-6.311,10
-0.766,-9.222,-6.004,10
-1.991,-10.218,-6.234,10
-2.288,-10.141,-5.2,9
-2.365,-9.634,-3.648,10
-2.403,-8.647,-2.71,10
-1.877,-7.718,-3.007,10
-0.9,-7.316,-3.208,10
-0.086,-7.489,-2.997,9
0.517,-8.121,-2.48,10
0.67,-8.887,-2.681,10
0.363,-9.595,-3.457,9
0.009,-9.816,-4.156,10
-0.383,-9.835,-4.606,10
-0.038,-9.557,-4.357,10
0.756,-8.868,-3.514,10
1.273,-8.178,-2.777,9
1.924,-7.69,-1.589,10
2.624,-7.115,-0.622,10
2.681,-7.038,-0.976,10
2.461,-7.144,-1.57,9
2.03,-7.019,-1.647,10
1.541,-6.866,-1.388,10
1.235,-6.895,-0.881,10
1.225,-6.991,-0.584,9
1.216,-7.24,-0.622,10
0.976,-7.546,-1.024,10
0.976,-7.546,-1.35,10
0.555,-7.996,-1.35,9
0.411,-8.35,-1.484,10
0.354,-8.561,-1.264,10
0.028,-8.504,-0.651,10
-0.43,-8.465,-0.459,10
-0.383,-8.628,-0.517,9
0.181,-8.724,-0.383,10
0.66,-8.657,-0.239,10
0.852,-8.647,-0.469,10
0.555,-8.868,-0.354,9
0.335,-9.011,-0.201,10
0.306,-9.481,-0.143,10
0.478,-10.017,-0.268,10
0.976,-10.4,-0.45,10
